policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_config_recorders,AWS,POST,https://config.{region}.amazonaws.com/,DescribeConfigurationRecorders,name,config:DescribeConfigurationRecorders
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Regions Without Config Fully Enabled,security/aws/aws_config_enabled/aws_config_enabled.pt,3.1.1,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_aws_regions_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/regions.json,Get Raw Content,{entire response},
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_regions_encryption,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=GetEbsEncryptionByDefault&Version=2016-11-15,GetEbsEncryptionByDefault,{entire response},ec2:GetEbsEncryptionByDefault
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Regions Without Default EBS Encryption,security/aws/ebs_ensure_encryption_default/ebs_ensure_encryption_default.pt,4.1.0,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Reserved Instances Coverage,cost/aws/reserved_instances/coverage/reserved_instance_coverage.pt,3.0.6,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Reserved Instances Coverage,cost/aws/reserved_instances/coverage/reserved_instance_coverage.pt,3.0.6,ds_reservations_coverage,AWS,POST,https://ce.us-east-1.amazonaws.com/,GetReservationCoverage,CoverageHoursPercentage,ce:GetReservationCoverage
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_ri_recommendations,AWS,POST,https://ce.us-east-1.amazonaws.com/,GetReservationPurchaseRecommendation,AccountScope,ce:GetReservationPurchaseRecommendation
AWS Reserved Instances Recommendations,cost/aws/reserved_instances/recommendations/aws_reserved_instance_recommendations.pt,3.7.4,ds_currency_conversion,Flexera,GET,https://api.xe-auth.flexeraeng.com/prod/{proxy+}?amount=1&from={dynamic}&to={dynamic},Get Prod,from,
AWS Reserved Instances Utilization,cost/aws/reserved_instances/utilization/utilization_ris.pt,3.1.2,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Reserved Instances Utilization,cost/aws/reserved_instances/utilization/utilization_ris.pt,3.1.2,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers,List Billing Centers,href,
AWS Reserved Instances Utilization,cost/aws/reserved_instances/utilization/utilization_ris.pt,3.1.2,ds_accounts_by_billing_center,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,cost_amortized_unblended_adj,
AWS Reserved Instances Utilization,cost/aws/reserved_instances/utilization/utilization_ris.pt,3.1.2,ds_aws_reservations,Flexera,GET,https://{rs_optima_host}/reserved_instances/orgs/{org}/clouds/aws,List Aws,end_datetime,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_regions_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/regions.json,Get Raw Content,{entire response},
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_flexera_cco_data,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/select,Request Selected Costs,vendor_account,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_aws_extended_support_dates,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/aws_extended_support_dates.json,Get Raw Content,{entire response},
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_region_check,AWS,GET,https://elasticache.{region}.amazonaws.com/?Action=DescribeCacheClusters&Version=2015-02-02&MaxResults=5,DescribeCacheClusters,{entire response},elasticache:DescribeCacheClusters
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_rds_instances,AWS,GET,https://rds.{region}.amazonaws.com/?Action=DescribeDBInstances&Version=2014-10-31,DescribeDBInstances,DBInstanceIdentifier,rds:DescribeDBInstances
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_rds_tags,AWS,GET,https://rds.{region}.amazonaws.com/?Action=ListTagsForResource&Version=2014-10-31,ListTagsForResource,Key,rds:ListTagsForResource
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_eks_cluster_list,AWS,GET,https://eks.{region}.amazonaws.com/clusters,List Clusters,clusters,eks:ListClusters
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_eks_clusters,AWS,GET,https://eks.{region}.amazonaws.com/clusters/{name},List Clusters,name,eks:DescribeCluster
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_elasticache_clusters,AWS,GET,https://elasticache.{region}.amazonaws.com/?Action=DescribeCacheClusters&Version=2015-02-02,DescribeCacheClusters,CacheClusterId,elasticache:DescribeCacheClusters
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_elasticache_tags,AWS,GET,https://elasticache.{region}.amazonaws.com/?Action=ListTagsForResource&Version=2015-02-02,ListTagsForResource,Key,elasticache:ListTagsForResource
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Resources Under or Approaching Extended Support,cost/aws/extended_support/aws_extended_support.pt,1.0.1,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_region_check,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeVolumes&Version=2016-11-15&MaxResults=5,DescribeVolumes,{entire response},ec2:DescribeVolumes
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_volumes_list,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeVolumes,DescribeVolumes,key,ec2:DescribeVolumes
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_cloudwatch_getmetricdata_iops_utilization,AWS,POST,https://monitoring.{region}.amazonaws.com/?Version=2010-08-01,GetMetricData,Id,cloudwatch:GetMetricData
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_volume_costs,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/select,Request Selected Costs,resource_id,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_detach_volume,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DetachVolume&Version=2016-11-15&VolumeId={dynamic},DetachVolume,{entire response},ec2:DetachVolume
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_get_volume_status,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeVolumes&Version=2016-11-15&VolumeId.1={dynamic},DescribeVolumes,{entire response},ec2:DescribeVolumes
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_create_snapshot,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=CreateSnapshot&Version=2016-11-15&VolumeId={dynamic},CreateSnapshot,{entire response},ec2:CreateSnapshot
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_get_snapshot_status,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeSnapshots&Version=2016-11-15&SnapshotId={dynamic},DescribeSnapshots,{entire response},ec2:DescribeSnapshots
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_delete_volume,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DeleteVolume&Version=2016-11-15&VolumeId={dynamic},DeleteVolume,{entire response},ec2:DeleteVolume
AWS Rightsize EBS Volumes,cost/aws/rightsize_ebs_volumes/aws_rightsize_ebs_volumes.pt,0.5.6,define_aws_ec2_modify_volume,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=ModifyVolume&Version=2016-11-15,ModifyVolume,{entire response},ec2:ModifyVolume
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_cloudwatch_metrics,AWS,GET,https://monitoring.{region}.amazonaws.com/?Action=ListMetrics,ListMetrics,Namespace,cloudwatch:ListMetrics
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_region_check,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeInstances&Version=2016-11-15&MaxResults=5,DescribeInstances,{entire response},ec2:DescribeInstances
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_instance_sets,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeInstances&Version=2016-11-15&Filter.1.Name=instance-state-name&Filter.1.Value.1=running,DescribeInstances,instanceId,ec2:DescribeInstances
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_aws_instance_types_map,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/aws_ec2_instance_types.json,Get Raw Content,{entire response},
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_cloudwatch_data,AWS,POST,https://monitoring.{region}.amazonaws.com/?Version=2010-08-01,GetMetricData,Id,cloudwatch:GetMetricData
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_instance_costs,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/select,Request Selected Costs,resource_id,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,define_start_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=StartInstances&Version=2016-11-15&InstanceId.1={dynamic},StartInstances,{entire response},ec2:StartInstances
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,define_stop_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=StopInstances&Version=2016-11-15&InstanceId.1={dynamic},StopInstances,{entire response},ec2:StopInstances
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,define_resize_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=ModifyInstanceAttribute&Version=2016-11-15&InstanceId={dynamic}&InstanceType.Value={dynamic},ModifyInstanceAttribute,{entire response},ec2:ModifyInstanceAttribute
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,define_terminate_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=TerminateInstances&Version=2016-11-15&InstanceId.1={dynamic},TerminateInstances,{entire response},ec2:TerminateInstances
AWS Rightsize EC2 Instances,cost/aws/rightsize_ec2_instances/aws_rightsize_ec2_instances.pt,5.7.2,define_get_instance_state,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=DescribeInstanceStatus&Version=2016-11-15&IncludeAllInstances=true&InstanceId.1={dynamic},DescribeInstanceStatus,{entire response},ec2:DescribeInstanceStatus
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_describe_regions,AWS,GET,https://ec2.amazonaws.com/?Action=DescribeRegions&Version=2016-11-15&Filter.1.Name=opt-in-status&Filter.1.Value.1=opt-in-not-required&Filter.1.Value.2=opted-in,DescribeRegions,regionName,ec2:DescribeRegions
AWS Rightsize EC2 Instances (Cross-Family),cost/aws/rightsize_ec2_instances_cross_family/aws_rightsize_ec2_instances_cross_family.pt,0.1.0,ds_cloudwatch_metrics,AWS,GET,https://monitoring.{region}.amazonaws.com/?Action=ListMetrics,ListMetrics,Namespace,cloudwatch:ListMetrics
