policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,ds_instance_sets,AWS,GET,https://ec2.{region}.amazonaws.com/?Action=DescribeInstances&Version=2016-11-15&Filter.1.Name=instance-state-name&Filter.1.Value.1=running,DescribeInstances,instanceId,ec2:DescribeInstances
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,ds_cloudwatch_data,AWS,POST,https://monitoring.{region}.amazonaws.com/?Version=2010-08-01,GetMetricData,Id,cloudwatch:GetMetricData
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,ds_aws_instance_types,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/aws_ec2_instance_types.json,Get Raw Content,{entire response},
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,ds_get_parent_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies/,List Applied Policies,id,
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,ds_terminate_self,Flexera,DELETE,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies{id}/,Delete Projects,{entire response},
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,define_start_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=StartInstances&Version=2016-11-15&InstanceId.1={dynamic},StartInstances,{entire response},ec2:StartInstances
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,define_stop_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=StopInstances&Version=2016-11-15&InstanceId.1={dynamic},StopInstances,{entire response},ec2:StopInstances
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,define_resize_instance,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=ModifyInstanceAttribute&Version=2016-11-15&InstanceId={dynamic}&InstanceType.Value={dynamic},ModifyInstanceAttribute,{entire response},ec2:ModifyInstanceAttribute
AWS Burstable EC2 Instances,cost/aws/burstable_ec2_instances/aws_burstable_ec2_instances.pt,4.5.3,define_get_instance_state,AWS,POST,https://ec2.{region}.amazonaws.com/?Action=DescribeInstanceStatus&Version=2016-11-15&IncludeAllInstances=true&InstanceId.1={dynamic},DescribeInstanceStatus,{entire response},ec2:DescribeInstanceStatus
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
